Country or Area,City,Source Year,Value,ISO3166-1-Alpha-2,ISO3166-1-Alpha-3
Serbia,Šabac,2024,51163,RS,SRB
Thailand,Krabi,2013,52867,TH,THA
Serbia,Kruševac,2024,53746,RS,SRB
Serbia,Leskovac,2024,54091,RS,SRB
Switzerland,Biel/Bienne,2022,55140,CH,CHE
Thailand,Satun,2013,55273,TH,THA
Australia,Greater Hobart,2025,55964,AU,AUS
Australia,Hobart,2025,55964,AU,AUS
Austria,Sankt Pölten,2024,56180,AT,AUT
Thailand,Sing Buri,2013,56396,TH,THA
Serbia,Kraljevo,2024,57432,RS,SRB
Serbia,Smederevo,2024,59261,RS,SRB
Dominican Republic,Azua,2012,59319,DO,DOM
Burkina Faso,Pouytenga,2009,60618,BF,BFA
Eswatini,MBABANE,2020,60691,SZ,SWZ
Canada,Belleville,2025,61725,CA,CAN
Switzerland,Lugano,2022,62123,CH,CHE
Malaysia,Bandar Maharani,2013,62330,MY,MYS
French Guiana,CAYENNE,2025,63468,GF,GUF
Kenya,Nyeri,2016,63626,KE,KEN
Solomon Islands,HONIARA,2014,64609,SB,SLB
Brazil,São Félix do Xingu,2024,65418,BR,BRA
Dominican Republic,Moca,2012,65445,DO,DOM
Thailand,Uthai Thani,2013,65459,TH,THA
Cameroon,Edéa,2010,66581,CM,CMR
Dominican Republic,Bajos de Haina,2012,67117,DO,DOM
Serbia,Zrenjanin,2024,67129,RS,SRB
Australia,Launceston,2020,67449,AU,AUS
Dominican Republic,Bonao,2012,68602,DO,DOM
Serbia,Cacak,2024,69598,RS,SRB
Kiribati,TARAWA,2024,70090,KI,KIR
Ghana,Sekondi,2015,70361,GH,GHA
Serbia,Novi Pazar,2024,71462,RS,SRB
Dominican Republic,San Juan de la Maguana,2012,71494,DO,DOM
El Salvador,Sonsonate,2021,71602,SV,SLV
Malaysia,Butterworth,2013,71643,MY,MYS
Dominican Republic,Baní,2012,72466,DO,DOM
Brazil,Tailândia,2024,72493,BR,BRA
Serbia,Pancevo,2024,73401,RS,SRB
Colombia,Manaure,2020,74528,CO,COL
Martinique,FORT-DE-FRANCE,2025,74921,MQ,MTQ
Ukraine,Stakhanov,2018,75118,UA,UKR
Malaysia,Bandar Penggaram,2013,75148,MY,MYS
Armenia,Vanadzoz (Kirovakan),2024,75186,AM,ARM
Dominican Republic,Boca Chica,2012,75827,DO,DOM
Switzerland,St. Gallen,2022,76328,CH,CHE
Iran (Islamic Republic of),Shoosh,2017,77148,IR,IRN
Ecuador,Latacunga,2025,77267,EC,ECU
Thailand,Prachin Buri,2013,77645,TH,THA
Canada,Saint John,2025,78165,CA,CAN
Latvia,Daugavpils,2024,78850,LV,LVA
Ukraine,Enakievo (Yenakievo),2018,78867,UA,UKR
Ukraine,Krasny Lutch,2018,80602,UA,UKR
Thailand,Trang,2013,82794,TH,THA
Russian Federation,Chaykovsky,2013,82883,RU,RUS
Switzerland,Luzern,2022,82922,CH,CHE
Malaysia,Ampang/Ulu Kelang,2013,83040,MY,MYS
Spain,Torrevieja,2023,83740,ES,ESP
Venezuela (Bolivarian Republic of),Catia la Mar,2016,84268,VE,VEN
Colombia,Caucasia,2020,84717,CO,COL
Australia,Darwin,2025,85465,AU,AUS
Australia,Greater Darwin,2025,85465,AU,AUS
Puerto Rico,Arecibo,2025,85641,PR,PRI
Colombia,Tierralta,2020,86578,CO,COL
Lithuania,Panevezhis,2024,87395,LT,LTU
Poland,Jastrzebie-Zdrój,2020,87448,PL,POL
El Salvador,Cuscatancingo,2021,88238,SV,SLV
Cameroon,Bertoua,2010,88462,CM,CMR
Japan,Muroran,2017,88564,JP,JPN
Serbia,Subotica,2024,88752,RS,SRB
Puerto Rico,Guaynabo,2025,89039,PR,PRI
Cameroon,Kousséri,2010,89123,CM,CMR
Poland,Slupsk,2020,89277,PL,POL
Czechia,Ústí nad Labem,2022,89713,CZ,CZE
Zimbabwe,Masvingo,2023,90286,ZW,ZWE
Japan,Iga,2017,90581,JP,JPN
Brazil,Tucuruí,2024,91306,BR,BRA
Costa Rica,Pavas,2025,91792,CR,CRI
Chile,Chiguallante,2024,91963,CL,CHL
Bulgaria,Pleven,2023,92101,BG,BGR
Japan,Yokote,2017,92197,JP,JPN
Poland,Grudziadz,2020,92420,PL,POL
Czechia,Hradec Králové,2022,92649,CZ,CZE
Brazil,Barra do Piraí,2024,92883,BR,BRA
Colombia,Girardot,2020,92903,CO,COL
Brazil,Guaíba,2024,92924,BR,BRA
Brazil,Mairiporã,2024,93853,BR,BRA
Fiji,SUVA,2025,93870,FJ,FJI
Mauritius,Beau Bassin - Rose Hill,2025,94236,MU,MUS
New Caledonia,NOUMEA,2021,94285,NC,NCL
Brazil,Aracruz,2024,94765,BR,BRA
Venezuela (Bolivarian Republic of),Puerto La Cruz,2016,94796,VE,VEN
Brazil,Caieiras,2024,95032,BR,BRA
Colombia,Yumbo,2020,95040,CO,COL
Russian Federation,Magadan,2013,95263,RU,RUS
Russian Federation,Solikamsk,2010,95703,RU,RUS
Brazil,Vilhena,2024,95832,BR,BRA
Hungary,Székesfehérvar,2024,95915,HU,HUN
Canada,Peterborough,2025,96058,CA,CAN
Japan,Satsumasendai,2017,96076,JP,JPN
Japan,Mihara,2017,96194,JP,JPN
Brazil,Corumbá,2024,96268,BR,BRA
Brazil,Japeri,2024,96289,BR,BRA
Croatia,Osijek,2024,96313,HR,HRV
Brazil,Parintins,2024,96372,BR,BRA
Ecuador,Rumin~ahui,2025,96647,EC,ECU
Russian Federation,Ust-Ulimsk,2010,96699,RU,RUS
Brazil,Ariquemes,2024,96833,BR,BRA
Russian Federation,Glazov,2010,96843,RU,RUS
Russian Federation,Kansk,2010,96945,RU,RUS
Slovenia,Maribor,2022,97019,SI,SVN
Romania,Focsani,2013,97186,RO,ROU
Ghana,Takoradi,2015,97352,GH,GHA
Canada,Moncton,2025,97523,CA,CAN
Poland,Legnica,2020,97647,PL,POL
Japan,Hanamaki,2017,97702,JP,JPN
Israel,Kefar Sava,2025,97919,IL,ISR
Cuba,Sancti Spíritus,2025,97926,CU,CUB
Ukraine,Lysychansk,2018,97935,UA,UKR
Chile,Hualpén,2024,98055,CL,CHL
Brazil,Iguatu,2024,98064,BR,BRA
Japan,Shimada,2017,98112,JP,JPN
Russian Federation,Velikie Luky,2013,98141,RU,RUS
Brazil,Leme,2024,98161,BR,BRA
Thailand,Amnat Charoen,2013,98173,TH,THA
Ecuador,Babahoyo,2025,98251,EC,ECU
Brazil,Santa Cruz do Capibaribe,2024,98254,BR,BRA
Japan,Kanuma,2017,98374,JP,JPN
Brazil,Abreu e Lima,2024,98462,BR,BRA
Colombia,Lorica,2020,98491,CO,COL
Japan,Shibata,2017,98611,JP,JPN
Poland,Kalisz,2020,98777,PL,POL
Belarus,Novopolotsk,2021,98926,BY,BLR
Italy,Ancona,2024,98950,IT,ITA
Russian Federation,Zelenodolsk,2010,99089,RU,RUS
Japan,Sanjo,2017,99192,JP,JPN
Thailand,Nan,2013,99196,TH,THA
Chile,La Reina,2024,99212,CL,CHL
Japan,Saku,2017,99368,JP,JPN
Russian Federation,Uhta,2013,99680,RU,RUS
United States of America,Daly City (CA),2023,100007,US,USA
United States of America,Roanoke (VA),2023,100011,US,USA
Germany,Kaiserslautern,1999,100025,DE,DEU
India,Nagda,2017,100039,IN,IND
Pakistan,Renala Khurd,2024,100054,PK,PAK
Bangladesh,Choumuhani Pourasabha,2023,100065,BD,BGD
Russian Federation,Leninsk-Kuznetsky,2013,100073,RU,RUS
Poland,Tarnów,2023,100098,PL,POL
India,Gudiyatham,2007,100115,IN,IND
Japan,Ginowan,2022,100125,JP,JPN
Japan,Izumisano,2022,100131,JP,JPN
Philippines,Lamitan,2023,100150,PH,PHL
Germany,Gütersloh,2019,100194,DE,DEU
Germany,Cottbus,2019,100219,DE,DEU
Japan,Sakata,2022,100273,JP,JPN
Japan,Sakado,2022,100275,JP,JPN
Russian Federation,Mezhdurechensk,2013,100278,RU,RUS
India,Datia,2017,100284,IN,IND
India,Gangtok,2017,100286,IN,IND
United States of America,Davenport (IA),2024,100354,US,USA
Russian Federation,Sarapyul,2013,100362,RU,RUS
Iran (Islamic Republic of),Torbatejam,2017,100449,IR,IRN
Bangladesh,Thakurgaon Pourasabha,2023,100462,BD,BGD
Egypt,Al Orizah,1996,100482,EG,EGY
Iran (Islamic Republic of),Masjed Soleyman,2017,100497,IR,IRN
New Zealand,Whangarei District,2025,100500,NZ,NZL
United States of America,Livonia (MI),2002,100545,US,USA
Egypt,El-Mataria,2011,100566,EG,EGY
Russian Federation,Nazran,2013,100574,RU,RUS
India,Kalyani,2017,100575,IN,IND
United States of America,Portsmouth (VA),2009,100577,US,USA
Costa Rica,Limón,2025,100621,CR,CRI
United States of America,Hesperia (CA),2024,100633,US,USA
Iran (Islamic Republic of),Ahar,2017,100641,IR,IRN
Greece,Calithèa,2014,100641,GR,GRC
United States of America,Suffolk (VA),2024,100659,US,USA
Poland,Wloclawek,2023,100673,PL,POL
Philippines,Cavite City,2023,100674,PH,PHL
Chile,Lo Espejo,2024,100694,CL,CHL
United States of America,New Bedford (MA),2024,100695,US,USA
United States of America,San Angelo (TX),2017,100702,US,USA
United Republic of Tanzania,Shinyanga,1988,100724,TZ,TZA
Estonia,Tartu,2024,100724,EE,EST
Japan,Chikusei,2022,100753,JP,JPN
United States of America,Longmont (CO),2022,100758,US,USA
Costa Rica,Alajuelita,2025,100812,CR,CRI
China,Tongshi,2002,100836,CN,CHN
Spain,Barakaldo,2023,100847,ES,ESP
Pakistan,Kamoke,2021,100850,PK,PAK
United States of America,Yuma (AZ),2024,100858,US,USA
United Kingdom of Great Britain and Northern Ireland,Chesterfield/Staveley,2006,100879,GB,GBR
India,Banswara,2017,101017,IN,IND
Netherlands (Kingdom of the),Delft,2015,101030,NL,NLD
United States of America,Federal Way (WA),2023,101030,US,USA
United States of America,Flint (MI),2021,101030,US,USA
Brazil,Itaperuna,2024,101041,BR,BRA
United States of America,Erie (PA),2014,101047,US,USA
Iran (Islamic Republic of),Lahijan,2017,101073,IR,IRN
Japan,Kanoya,2022,101096,JP,JPN
Uzbekistan,Kuvasay,2024,101170,UZ,UZB
Russian Federation,Kiselevsk,2013,101180,RU,RUS
Azerbaijan,Mingecheviz,2022,101223,AZ,AZE
United States of America,Albany (NY),2024,101228,US,USA
United States of America,Lynn (MA),2024,101241,US,USA
India,Kasganj,2017,101277,IN,IND
